"Gugliotti Installments","Gugliotti Installments"
"Configuration","Configuration"
"Enabled","Enabled"
"Is this module enabled?","Is this module enabled?"
"Listing Pages","Listing Pages"
"Show on listing pages?","Show on listing pages?"
"Product Pages","Product Pages"
"Show on product pages?","Show on product pages?"
"Installments","Installments"
"installment of","installment of"
"installments of","installments of"
"Manage Methods","Manage Methods"
"Add New Method","Add New Method"
"ID","ID"
"Method Name","Method Name"
"Max Installments","Max Installments"
"Min Installment Value","Min Installment Value"
"Interests","Interests"
"Method Information","Method Information"
"Save Method","Save Method"
"Delete Method","Delete Method"